gap_length,gap_in_tau,RR_error,DET_error,RR_rel_error,DET_rel_error,ENTR_rel_error,maxL_rel_error,LAM_rel_error
12,0.48,0.0022567354816094287,0.13567608826088673,0.07317033227977514,0.38301031946576564,0.4884934301934636,0.0,0.4635181238100629
12,0.48,0.007976357816825708,0.23263131693439476,0.25861814846961656,0.6567125877439561,0.7554372353149044,0.0,0.8612750456206427
12,0.48,0.003864937310938732,0.13036684140048038,0.1253132011201441,0.3680224438408677,0.3274624853695306,0.0,0.4345356267141041
12,0.48,0.01885798476754097,0.283061046312838,0.6114340926584144,0.7990744954860877,1.065969607364871,0.0,0.7721509498073651
12,0.48,0.0020991478651679607,0.19415563582472117,0.06806085518236334,0.5480966694758634,0.589245723376003,0.0,0.5865839051766996
12,0.48,0.0014304106723184162,0.19080948516466378,0.04637833057662232,0.5386505669996128,0.5771956988796788,20.0,0.5448099165435136
12,0.48,0.0017395248430309707,0.06423204457470888,0.05640076642155987,0.1813255101016262,0.2962916159893163,0.0,0.40868104386371756
12,0.48,0.0006667168387926026,0.11402818652482694,0.02161701848910753,0.3218988158399493,0.47248894525767327,0.0,0.5465650586002367
12,0.48,0.021397569817122264,0.09282982452312893,0.6937752812668774,0.26205635202415,0.013353876829153724,0.0,0.17922483780398818
12,0.48,0.005846904640804063,0.1901863115884197,0.18957470153776532,0.5368913630486489,0.5637966665620832,0.0,0.6176224418253445
12,0.48,0.004279109892613153,0.2940896507423716,0.13874195503005166,0.8302079793590522,0.7238421452257613,10.0,0.8887032605635883
12,0.48,0.00391140545424884,0.15140217361080488,0.12681984180272865,0.42740467849413144,0.6651424151047903,0.0,0.5114041708621597
12,0.48,0.0035113753509734558,0.16863938401401413,0.1138496307092699,0.47606490704182497,0.6381302774291785,10.0,0.6053262067330917
12,0.48,0.015011230643113826,0.03383651015506928,0.4867104465879428,0.09551965073742322,0.07032506587291071,0.0,0.32141824906743766
12,0.48,0.0024567505332471207,0.12526566651035154,0.07965543782650451,0.3536219503614117,0.44482966974509974,0.0,0.5518403582126687
12,0.48,0.002687070895739385,0.19424414244730315,0.08712313512275056,0.5483465215332486,0.6579116472101382,0.0,0.6148844692368239
12,0.48,0.0022850204384066153,0.13043029099054593,0.07408741791264392,0.36820156050079267,0.2968790606919566,0.0,0.6089397088509949
12,0.48,0.00506704797482227,0.21957198606937567,0.1642893405171683,0.619846412202381,0.3508849723238421,0.0,0.7462655667811938
12,0.48,0.01624566697190888,0.3111910331204726,0.5267346838511172,0.8784847686732303,0.9749597384711299,20.0,0.7859122540572286
12,0.48,0.010556349947546728,0.20917327913132056,0.342269459410778,0.5904911137306491,0.7358774159866212,0.0,0.5658590319863387
12,0.48,0.0010606858798971608,0.19298186357680436,0.034390711232665835,0.5447831387762592,0.5959836278576146,0.0,0.6017037451168774
12,0.48,0.005889332075999842,0.19845842205804587,0.1909503299870685,0.5602433310648215,0.6436594343083302,0.0,0.5315534596060987
12,0.48,0.006558069268849387,0.2108187536238333,0.21263285459280956,0.5951362484712545,0.6056168835206486,0.0,0.6155371179062731
12,0.48,0.0017274027186893193,0.13448548094419266,0.05600772972175896,0.37964926377370867,0.5903950735377783,0.0,0.896205570228463
12,0.48,0.004018484219267204,0.2216736992163888,0.13029166598431774,0.6257794976427206,0.8460169483557822,0.0,0.7989637952291385
12,0.48,0.0035376399537137004,0.22506536952769096,0.11470121022550521,0.6353541009947609,0.6087183829982218,0.0,0.5554710947785257
12,0.48,0.00537818249959221,0.19585083653385738,0.1743772824787537,0.5528821801246993,0.5662877682579398,10.0,0.6492330101933752
12,0.48,0.005881250659772075,0.2258810256519368,0.1906883055205346,0.6376566785286951,0.7688821472767197,0.0,0.8310598157814639
12,0.48,0.0017193213024615517,0.1342611727543499,0.05574570525522502,0.3790160471726724,0.2236926908171013,0.0,0.6044900344621295
12,0.48,0.008713787047611277,0.10851085306389763,0.28252788104089605,0.30632351676877984,0.4090727592231865,0.0,0.6389264821671179
25,1.0,0.019148915751740603,0.23857735629335508,0.6208669734536363,0.6734981132084897,1.1490883477832818,0.0,0.956594857463622
25,1.0,0.03822509875743174,0.0013831194930560287,1.2393757267084813,0.0039045129151725083,0.5202550673149439,0.0,0.6216044093943867
25,1.0,0.01216253142281909,0.08487042054515825,0.39434682213451355,0.23958714687948426,0.6934892907950451,0.0,0.6388962829084658
25,1.0,0.005523647991692471,0.380401766855222,0.179093722876379,1.073864997997312,1.2328114125868337,10.0,1.1057379402502616
25,1.0,0.022799695532643494,0.025305084963356705,0.739236526210631,0.0714356435253866,0.09270146147352165,0.0,0.46839389471364834
25,1.0,0.012219101336413463,0.1839112383003183,0.3961809934002511,0.519176982751029,0.6271417986253329,0.0,0.7929171449416957
25,1.0,0.009451216278396846,0.46875881683965304,0.30643761361217553,1.3232948155530528,2.282229165975329,10.0,1.3428566286469659
25,1.0,0.04163545640555766,0.046342456709808744,1.3499500515860625,0.1308236357398668,0.3449020279820498,20.0,0.39864662827205805
25,1.0,0.012778739410188145,0.43117336820773744,0.41432618770778396,1.2171920020632265,1.9582796598508145,10.0,1.402227398918634
25,1.0,0.0008546097660886431,0.22777751657793033,0.027709087336036,0.6430104265969029,1.008942954378049,0.0,0.9835102484036176
25,1.0,0.004444778925282833,0.34888590819745957,0.1441134565940118,0.9848964903739438,1.1277650202550469,0.0,1.308954302240022
25,1.0,0.032582249876379255,0.08859849160038635,1.0564171429507123,0.2501114014047795,0.12393005713739712,20.0,0.3984097560498317
25,1.0,0.0997994293509965,0.5856977655068363,3.2358056433519446,1.6534106426020003,1.0043750399837086,0.0,0.6155898619445167
25,1.0,0.03475817119571101,0.016647872085961524,1.1269672305651481,0.04699654071547635,0.1930373734915712,0.0,0.6559836429985183
25,1.0,0.00705305601280104,0.3428846674758006,0.22868185316804204,0.9679551327960796,1.5317443260127717,20.0,1.1120179459899207
25,1.0,0.03579663318098181,0.03176944650264346,1.1606373745148457,0.08968437998323299,0.16935388831018133,10.0,0.5921047365873006
25,1.0,0.062390553632571066,0.33882829490385546,2.0228943877634484,0.9565040910202769,0.256054339899193,0.0,0.06399637124612333
25,1.0,0.014362696990834145,0.1711301571942201,0.4656829831485511,0.4830962995568646,0.9172477016680796,0.0,0.9388231069890294
25,1.0,0.006354013509097811,0.44308287874069663,0.20601673681281316,1.2508122625850253,1.2597567353242578,0.0,1.3438739430443187
25,1.0,0.029325439136581366,0.08304810889212888,0.9508212829372902,0.2344428051068141,0.7183820791971676,30.0,0.6776819550987226
25,1.0,0.05188673289050527,0.22836458351188327,1.6823280873851556,0.6446677023689517,0.12353458171506894,0.0,0.10153768500006623
25,1.0,0.021128862727548547,0.046671946127325725,0.6850629677546095,0.1317537764056347,0.271145193233019,10.0,0.8055406003375809
25,1.0,0.0488986292402811,0.08429491931109112,1.5854445408840017,0.23796252079880637,0.1028735652417932,0.0,0.3479266142021576
25,1.0,0.029478986044909394,0.07160520086131328,0.9557997478014495,0.20213975217627397,0.21019907886367278,0.0,0.5806787121841841
25,1.0,0.007622795856859543,0.08376222704439584,0.24715457805871352,0.23645874339883016,0.3379379749102198,0.0,0.7744028723233235
25,1.0,0.019399439654802286,0.20121486628230656,0.6289897319162171,0.5680247065190842,0.5583339382666491,0.0,0.9662771380944313
25,1.0,0.041081879393954246,0.0794004944123543,1.3320013756284448,0.2241456775503354,0.511947696213256,0.0,0.3814803509799123
25,1.0,0.05090484081882929,0.19273393334877653,1.6504921147012102,0.5440832377320931,0.017816892525611805,0.0,0.3746680732736668
25,1.0,0.08237185525577395,0.38958296532065617,2.6707498812701522,1.09978329946369,0.1957141205598998,0.0,0.15951676194128664
25,1.0,0.030998292295733254,0.07152808172255476,1.005060347509945,0.20192204671062086,0.24311730983839516,0.0,0.38555765126854374
37,1.48,0.01807408739344485,0.3984502339418654,0.586017719404536,1.1248153845638114,2.16777531623959,120.0,1.5179017499049614
