gap_length,gap_in_tau,RR_error,DET_error,RR_rel_error,DET_rel_error
12,0.48,0.0022567354816094287,0.13567608826088673,0.07317033227977514,0.38301031946576564
12,0.48,0.007976357816825708,0.23263131693439476,0.25861814846961656,0.6567125877439561
12,0.48,0.003864937310938732,0.13036684140048038,0.1253132011201441,0.3680224438408677
12,0.48,0.01885798476754097,0.283061046312838,0.6114340926584144,0.7990744954860877
12,0.48,0.0020991478651679607,0.19415563582472117,0.06806085518236334,0.5480966694758634
12,0.48,0.0014304106723184162,0.19080948516466378,0.04637833057662232,0.5386505669996128
12,0.48,0.0017395248430309707,0.06423204457470888,0.05640076642155987,0.1813255101016262
12,0.48,0.0006667168387926026,0.11402818652482694,0.02161701848910753,0.3218988158399493
12,0.48,0.021397569817122264,0.09282982452312893,0.6937752812668774,0.26205635202415
12,0.48,0.005846904640804063,0.1901863115884197,0.18957470153776532,0.5368913630486489
12,0.48,0.004279109892613153,0.2940896507423716,0.13874195503005166,0.8302079793590522
12,0.48,0.00391140545424884,0.15140217361080488,0.12681984180272865,0.42740467849413144
12,0.48,0.0035113753509734558,0.16863938401401413,0.1138496307092699,0.47606490704182497
12,0.48,0.015011230643113826,0.03383651015506928,0.4867104465879428,0.09551965073742322
12,0.48,0.0024567505332471207,0.12526566651035154,0.07965543782650451,0.3536219503614117
12,0.48,0.002687070895739385,0.19424414244730315,0.08712313512275056,0.5483465215332486
12,0.48,0.0022850204384066153,0.13043029099054593,0.07408741791264392,0.36820156050079267
12,0.48,0.00506704797482227,0.21957198606937567,0.1642893405171683,0.619846412202381
12,0.48,0.01624566697190888,0.3111910331204726,0.5267346838511172,0.8784847686732303
12,0.48,0.010556349947546728,0.20917327913132056,0.342269459410778,0.5904911137306491
12,0.48,0.0010606858798971608,0.19298186357680436,0.034390711232665835,0.5447831387762592
12,0.48,0.005889332075999842,0.19845842205804587,0.1909503299870685,0.5602433310648215
12,0.48,0.006558069268849387,0.2108187536238333,0.21263285459280956,0.5951362484712545
