filename,eDim,tLag,rescale,radius,perc_recur,perc_determ,maxl_found,mean_line,std_line,count_line,entropy,laminarity,trapping_time,vmax,divergence,trend_lower_diag,trend_upper_diag
P003_T3_PC6, 4, 10, 1, 20.0, 0.882, 90.686, 33.00, 4.01, 3.59, 2044, 2.647, 0.968, 6.123, 52.00, 0.030, -1.443, 0.256
P003_T3_PC7, 4, 10, 1, 20.0, 0.696, 88.830, 28.00, 3.74, 2.78, 1691, 2.525, 0.919, 4.538, 32.00, 0.036, 0.394, -0.780
P003_T3_PC8, 4, 10, 1, 20.0, 1.839, 96.246, 52.00, 6.01, 5.87, 3014, 3.506, 0.979, 7.023, 52.00, 0.019, 5.892, 11.141
P003_T3_PC9, 4, 10, 1, 20.0, 1.020, 93.181, 36.00, 4.05, 3.08, 2400, 2.726, 0.965, 5.294, 39.00, 0.028, -0.865, -1.260
P003_T3_PC10, 4, 10, 1, 20.0, 1.085, 93.154, 30.00, 4.14, 3.47, 2500, 2.755, 0.970, 5.780, 44.00, 0.033, -0.232, 0.979
P003_T3_PC11, 4, 10, 1, 20.0, 0.411, 80.784, 16.00, 3.15, 1.88, 1079, 2.096, 0.888, 4.018, 24.00, 0.062, 0.284, -0.193
P003_T3_PC12, 4, 10, 1, 20.0, 0.637, 90.576, 40.00, 4.04, 3.95, 1464, 2.648, 0.942, 4.721, 43.00, 0.025, -1.219, -1.047
P003_T3_PC13, 4, 10, 1, 20.0, 0.509, 85.426, 23.00, 3.58, 2.61, 1242, 2.424, 0.932, 4.453, 28.00, 0.043, -0.187, -0.687
P003_T3_PC14, 4, 10, 1, 20.0, 1.041, 87.909, 26.00, 3.82, 2.74, 2451, 2.601, 0.935, 5.365, 44.00, 0.038, 0.050, -0.246
P003_T4_PC1, 4, 10, 1, 20.0, 20.029, 99.886, 225.00, 45.62, 44.04, 4671, 6.483, 0.999, 75.365, 198.00, 0.004, 14.994, 38.640
P003_T4_PC2, 4, 10, 1, 20.0, 3.054, 98.060, 68.00, 7.99, 8.70, 3994, 4.037, 0.989, 12.332, 91.00, 0.015, -1.682, 10.745
