filename,eDim,tLag,rescale,radius,perc_recur,perc_determ,maxl_found,mean_line,std_line,count_line,entropy,laminarity,trapping_time,vmax,divergence,trend_lower_diag,trend_upper_diag
P001_T10_PC1, 4, 10, 1, 20.0, 2.831, 98.136, 72.00, 8.05, 8.46, 3506, 4.067, 0.991, 8.896, 64.00, 0.014, -3.671, -0.968
P001_T10_PC2, 4, 10, 1, 20.0, 1.300, 96.433, 43.00, 6.48, 6.67, 1965, 3.614, 0.984, 7.882, 100.00, 0.023, -2.811, -2.476
P001_T10_PC3, 4, 10, 1, 20.0, 0.887, 86.727, 27.00, 3.53, 3.06, 2212, 2.297, 0.917, 4.171, 30.00, 0.037, 1.209, -0.489
P001_T10_PC4, 4, 10, 1, 20.0, 0.642, 86.056, 19.00, 3.40, 1.93, 1652, 2.322, 0.926, 4.661, 49.00, 0.053, 0.447, -0.099
P001_T10_PC5, 4, 10, 1, 20.0, 1.396, 94.740, 57.00, 5.24, 4.49, 2566, 3.281, 0.947, 4.578, 78.00, 0.018, -2.352, -1.006
P001_T10_PC6, 4, 10, 1, 20.0, 0.713, 85.501, 25.00, 3.36, 2.39, 1843, 2.254, 0.926, 4.762, 41.00, 0.040, -0.177, -0.646
P001_T10_PC7, 4, 10, 1, 20.0, 0.707, 85.854, 28.00, 3.41, 2.65, 1810, 2.250, 0.924, 4.219, 26.00, 0.036, 0.479, 1.556
P001_T10_PC8, 4, 10, 1, 20.0, 1.115, 90.988, 27.00, 4.01, 3.39, 2572, 2.656, 0.939, 4.109, 21.00, 0.037, 0.634, -0.192
P001_T10_PC9, 4, 10, 1, 20.0, 5.340, 98.155, 67.00, 7.15, 7.48, 7444, 3.802, 0.990, 8.248, 69.00, 0.015, 3.100, -4.401
P001_T10_PC10, 4, 10, 1, 20.0, 0.857, 93.340, 27.00, 4.09, 3.06, 1988, 2.757, 0.981, 7.204, 112.00, 0.037, -0.241, -1.196
P001_T10_PC11, 4, 10, 1, 20.0, 0.606, 87.078, 32.00, 3.68, 3.51, 1458, 2.362, 0.945, 4.817, 40.00, 0.031, 0.761, 1.222
P001_T10_PC12, 4, 10, 1, 20.0, 1.485, 95.434, 43.00, 5.13, 4.80, 2807, 3.182, 0.984, 6.842, 47.00, 0.023, 1.921, 1.219
P001_T10_PC13, 4, 10, 1, 20.0, 0.638, 88.659, 27.00, 3.56, 3.07, 1614, 2.328, 0.947, 4.348, 22.00, 0.037, 0.495, 2.241
P001_T10_PC14, 4, 10, 1, 20.0, 0.910, 89.899, 24.00, 3.81, 2.84, 2181, 2.589, 0.936, 4.426, 25.00, 0.042, -0.483, -0.964
P001_T10_PC15, 4, 10, 1, 20.0, 0.984, 89.418, 30.00, 3.89, 3.13, 2297, 2.614, 0.930, 4.540, 31.00, 0.033, 3.461, -1.154
P001_T11_PC1, 4, 10, 1, 20.0, 2.684, 98.055, 109.00, 7.52, 8.91, 3628, 3.907, 0.994, 8.769, 35.00, 0.009, -4.147, -0.927
P001_T11_PC2, 4, 10, 1, 20.0, 2.110, 97.069, 68.00, 6.39, 6.87, 3323, 3.616, 0.987, 7.751, 56.00, 0.015, -2.853, -1.697
P001_T11_PC3, 4, 10, 1, 20.0, 2.193, 93.273, 28.00, 4.79, 3.91, 4422, 3.108, 0.976, 7.662, 68.00, 0.036, -1.552, 3.327
P001_T11_PC4, 4, 10, 1, 20.0, 1.155, 94.463, 25.00, 4.89, 3.74, 2313, 3.156, 0.972, 6.950, 73.00, 0.040, -1.235, -0.781
P001_T11_PC5, 4, 10, 1, 20.0, 2.500, 95.437, 79.00, 5.01, 4.57, 4934, 3.184, 0.963, 4.486, 35.00, 0.013, 0.541, -0.765
P001_T11_PC6, 4, 10, 1, 20.0, 0.504, 76.330, 22.00, 3.00, 1.80, 1329, 1.962, 0.900, 4.262, 24.00, 0.045, -0.621, 0.097
P001_T11_PC7, 4, 10, 1, 20.0, 1.058, 92.081, 50.00, 4.40, 4.31, 2293, 2.853, 0.959, 5.791, 45.00, 0.020, -1.155, -1.407
P001_T11_PC8, 4, 10, 1, 20.0, 1.072, 90.195, 32.00, 4.05, 3.68, 2476, 2.625, 0.960, 4.911, 28.00, 0.031, -0.363, -0.221
P001_T11_PC9, 4, 10, 1, 20.0, 18.414, 99.442, 154.00, 13.87, 15.47, 13680, 4.908, 0.997, 17.818, 141.00, 0.006, -18.151, -12.229
P001_T11_PC10, 4, 10, 1, 20.0, 1.331, 93.859, 36.00, 4.18, 3.29, 3095, 2.810, 0.978, 5.630, 21.00, 0.028, -1.546, -0.741
P001_T11_PC11, 4, 10, 1, 20.0, 0.839, 92.592, 42.00, 4.67, 4.47, 1724, 2.992, 0.963, 5.989, 34.00, 0.024, -0.951, -0.282
P001_T11_PC12, 4, 10, 1, 20.0, 3.068, 97.424, 67.00, 6.39, 6.72, 4844, 3.597, 0.989, 9.198, 43.00, 0.015, -2.836, 0.894
P001_T11_PC13, 4, 10, 1, 20.0, 2.307, 95.094, 63.00, 4.89, 5.03, 4648, 3.073, 0.988, 7.796, 51.00, 0.016, -1.684, -3.306
P001_T11_PC14, 4, 10, 1, 20.0, 0.526, 83.324, 22.00, 3.32, 2.11, 1369, 2.249, 0.949, 4.795, 21.00, 0.045, -0.111, -0.746
P001_T11_PC15, 4, 10, 1, 20.0, 0.659, 84.265, 20.00, 3.24, 1.96, 1779, 2.191, 0.920, 3.979, 21.00, 0.050, -0.151, 1.101
P001_T12_PC1, 4, 10, 1, 20.0, 2.062, 97.800, 55.00, 7.58, 7.54, 2687, 3.954, 0.987, 10.975, 77.00, 0.018, -0.789, -2.740
P001_T12_PC2, 4, 10, 1, 20.0, 1.979, 97.748, 57.00, 7.23, 7.67, 2702, 3.816, 0.988, 9.894, 65.00, 0.018, -1.708, -3.650
P001_T12_PC3, 4, 10, 1, 20.0, 1.459, 95.882, 45.00, 5.93, 5.71, 2385, 3.484, 0.978, 8.697, 64.00, 0.022, -0.971, 0.968
P001_T12_PC4, 4, 10, 1, 20.0, 0.746, 91.748, 21.00, 4.19, 3.03, 1651, 2.777, 0.969, 7.053, 64.00, 0.048, -0.812, 1.456
P001_T12_PC5, 4, 10, 1, 20.0, 2.222, 95.784, 59.00, 5.57, 5.06, 3858, 3.400, 0.970, 6.258, 44.00, 0.017, -2.792, 1.055
P001_T12_PC6, 4, 10, 1, 20.0, 1.149, 93.829, 33.00, 4.68, 4.32, 2324, 2.976, 0.976, 7.527, 38.00, 0.030, -1.211, 1.877
P001_T12_PC7, 4, 10, 1, 20.0, 0.558, 90.603, 27.00, 4.20, 2.96, 1218, 2.827, 0.951, 4.975, 24.00, 0.037, -0.636, 0.003
P001_T12_PC8, 4, 10, 1, 20.0, 0.832, 93.505, 31.00, 4.73, 4.64, 1661, 2.960, 0.960, 6.216, 49.00, 0.032, 0.325, 1.609
P001_T12_PC9, 4, 10, 1, 20.0, 3.947, 97.798, 54.00, 7.80, 8.21, 4996, 3.922, 0.985, 9.273, 53.00, 0.019, 2.717, -1.106
P001_T12_PC10, 4, 10, 1, 20.0, 0.783, 92.326, 25.00, 4.00, 3.39, 1825, 2.639, 0.969, 5.697, 32.00, 0.040, -0.146, 1.282
P001_T12_PC11, 4, 10, 1, 20.0, 0.322, 82.888, 10.00, 2.97, 1.43, 908, 1.958, 0.891, 3.791, 31.00, 0.100, 0.619, -0.333
P001_T12_PC12, 4, 10, 1, 20.0, 1.286, 94.278, 31.00, 4.51, 3.81, 2714, 2.941, 0.969, 5.635, 44.00, 0.032, 0.165, 0.672
P001_T12_PC13, 4, 10, 1, 20.0, 0.715, 88.772, 21.00, 3.41, 2.20, 1880, 2.332, 0.932, 4.171, 26.00, 0.048, 0.035, -0.376
P001_T12_PC14, 4, 10, 1, 20.0, 1.145, 94.199, 53.00, 5.21, 5.17, 2093, 3.213, 0.966, 7.453, 36.00, 0.019, -0.466, 1.249
P001_T12_PC15, 4, 10, 1, 20.0, 0.903, 91.630, 36.00, 4.74, 4.10, 1762, 2.986, 0.945, 6.083, 38.00, 0.028, -0.691, -0.301
P001_T1_PC1, 4, 10, 1, 20.0, 5.530, 99.533, 86.00, 13.19, 14.04, 4411, 4.823, 0.997, 16.919, 147.00, 0.012, -6.030, -5.015
P001_T1_PC2, 4, 10, 1, 20.0, 3.091, 97.410, 80.00, 8.11, 9.65, 3922, 3.930, 0.991, 13.909, 148.00, 0.013, 0.199, -4.545
P001_T1_PC3, 4, 10, 1, 20.0, 7.324, 98.585, 104.00, 15.99, 19.23, 4773, 5.038, 0.992, 23.560, 138.00, 0.010, -0.994, -10.678
P001_T1_PC4, 4, 10, 1, 20.0, 1.874, 95.511, 45.00, 6.58, 7.49, 2876, 3.577, 0.989, 11.775, 93.00, 0.022, 1.697, -2.877
P001_T1_PC5, 4, 10, 1, 20.0, 1.845, 97.128, 49.00, 7.70, 8.91, 2461, 3.789, 0.985, 9.793, 55.00, 0.020, -1.366, -0.961
P001_T1_PC6, 4, 10, 1, 20.0, 1.776, 96.553, 43.00, 6.45, 6.19, 2811, 3.638, 0.980, 8.995, 62.00, 0.023, -0.890, 1.978
P001_T1_PC7, 4, 10, 1, 20.0, 1.309, 96.076, 40.00, 6.52, 6.99, 2040, 3.577, 0.982, 8.104, 48.00, 0.025, -0.338, -0.259
P001_T1_PC8, 4, 10, 1, 20.0, 1.403, 95.718, 46.00, 5.58, 5.53, 2542, 3.363, 0.975, 7.644, 58.00, 0.022, 0.652, 1.604
P001_T1_PC9, 4, 10, 1, 20.0, 2.322, 97.779, 54.00, 7.85, 8.55, 3056, 3.963, 0.987, 10.581, 73.00, 0.019, -0.536, -1.890
P001_T1_PC10, 4, 10, 1, 20.0, 0.950, 95.877, 41.00, 5.77, 5.48, 1668, 3.430, 0.980, 7.831, 52.00, 0.024, -1.000, -1.071
P001_T1_PC11, 4, 10, 1, 20.0, 0.782, 87.712, 40.00, 3.80, 3.39, 1906, 2.534, 0.928, 4.800, 22.00, 0.025, 0.520, -0.375
P001_T1_PC12, 4, 10, 1, 20.0, 1.130, 94.891, 55.00, 5.35, 5.83, 2118, 3.173, 0.985, 7.511, 68.00, 0.018, -0.114, 3.003
P001_T1_PC13, 4, 10, 1, 20.0, 0.560, 84.302, 21.00, 3.31, 2.01, 1509, 2.247, 0.898, 3.920, 43.00, 0.048, 0.781, -0.033
P001_T1_PC14, 4, 10, 1, 20.0, 1.450, 95.224, 38.00, 5.72, 5.20, 2551, 3.441, 0.984, 8.359, 34.00, 0.026, -1.570, 0.351
P001_T1_PC15, 4, 10, 1, 20.0, 0.687, 89.938, 30.00, 4.10, 3.30, 1591, 2.734, 0.941, 5.843, 41.00, 0.033, 2.008, -0.131
P001_T2_PC1, 4, 10, 1, 20.0, 3.934, 98.579, 78.00, 13.36, 13.73, 2997, 4.826, 0.993, 22.466, 94.00, 0.013, -3.905, -7.058
P001_T2_PC2, 4, 10, 1, 20.0, 1.513, 95.433, 47.00, 5.52, 5.18, 2699, 3.365, 0.977, 7.198, 55.00, 0.021, -2.223, -1.725
P001_T2_PC3, 4, 10, 1, 20.0, 4.004, 98.831, 100.00, 13.26, 15.02, 3080, 4.756, 0.995, 22.148, 90.00, 0.010, -0.524, -6.246
P001_T2_PC4, 4, 10, 1, 20.0, 1.953, 96.874, 45.00, 6.88, 6.98, 2838, 3.742, 0.991, 11.759, 104.00, 0.022, 0.043, 3.640
P001_T2_PC5, 4, 10, 1, 20.0, 5.386, 98.012, 94.00, 7.87, 9.31, 6922, 3.928, 0.987, 10.344, 76.00, 0.011, 8.680, 4.267
P001_T2_PC6, 4, 10, 1, 20.0, 1.670, 96.078, 42.00, 7.08, 7.96, 2340, 3.668, 0.980, 10.172, 60.00, 0.024, 1.639, 0.023
P001_T2_PC7, 4, 10, 1, 20.0, 0.719, 88.486, 36.00, 4.10, 4.17, 1604, 2.621, 0.960, 6.156, 72.00, 0.028, -0.464, -0.807
P001_T2_PC8, 4, 10, 1, 20.0, 1.690, 94.089, 31.00, 4.91, 3.89, 3342, 3.170, 0.979, 6.874, 41.00, 0.032, 1.059, 1.572
P001_T2_PC9, 4, 10, 1, 20.0, 2.455, 95.975, 50.00, 5.47, 5.01, 4445, 3.365, 0.972, 6.122, 35.00, 0.020, 11.168, -2.571
P001_T2_PC10, 4, 10, 1, 20.0, 1.026, 94.459, 45.00, 4.93, 4.69, 2028, 3.128, 0.988, 7.916, 46.00, 0.022, 10.160, -0.870
P001_T2_PC11, 4, 10, 1, 20.0, 0.608, 91.144, 39.00, 3.93, 3.37, 1455, 2.629, 0.956, 5.208, 23.00, 0.026, 2.131, -0.227
P001_T2_PC12, 4, 10, 1, 20.0, 2.758, 96.790, 92.00, 5.65, 5.78, 4877, 3.371, 0.982, 6.722, 37.00, 0.011, 1.898, -2.797
P001_T2_PC13, 4, 10, 1, 20.0, 1.168, 92.518, 28.00, 4.21, 3.71, 2649, 2.770, 0.980, 6.450, 40.00, 0.036, 0.037, -0.790
P001_T2_PC14, 4, 10, 1, 20.0, 1.672, 94.189, 46.00, 4.94, 5.19, 3294, 3.075, 0.991, 9.863, 60.00, 0.022, 3.260, -1.282
P001_T2_PC15, 4, 10, 1, 20.0, 1.476, 95.155, 53.00, 5.78, 5.91, 2507, 3.424, 0.979, 7.502, 39.00, 0.019, 1.127, -1.361
P001_T3_PC1, 4, 10, 1, 20.0, 6.582, 99.439, 145.00, 15.91, 18.68, 4347, 5.124, 0.998, 24.580, 110.00, 0.007, 8.281, -6.128
P001_T3_PC2, 4, 10, 1, 20.0, 3.948, 98.502, 61.00, 9.24, 9.85, 4448, 4.212, 0.995, 13.951, 164.00, 0.016, 3.916, 12.749
P001_T3_PC3, 4, 10, 1, 20.0, 6.509, 99.291, 109.00, 15.41, 16.96, 4433, 5.052, 0.998, 23.162, 142.00, 0.009, 5.888, 4.186
P001_T3_PC4, 4, 10, 1, 20.0, 2.062, 96.600, 56.00, 5.76, 5.79, 3654, 3.409, 0.988, 7.424, 33.00, 0.018, -2.436, 2.516
P001_T3_PC5, 4, 10, 1, 20.0, 5.122, 98.480, 96.00, 9.39, 11.68, 5674, 4.238, 0.991, 12.709, 103.00, 0.010, -0.852, -7.451
P001_T3_PC6, 4, 10, 1, 20.0, 2.100, 97.125, 62.00, 6.87, 7.97, 3139, 3.717, 0.988, 9.411, 90.00, 0.016, -2.791, 0.790
P001_T3_PC7, 4, 10, 1, 20.0, 0.926, 94.787, 27.00, 4.81, 3.97, 1929, 3.095, 0.976, 5.756, 25.00, 0.037, -1.570, 4.825
P001_T3_PC8, 4, 10, 1, 20.0, 1.649, 94.663, 36.00, 5.36, 5.23, 3078, 3.258, 0.975, 8.070, 73.00, 0.028, 1.306, 1.676
P001_T3_PC9, 4, 10, 1, 20.0, 1.860, 95.329, 56.00, 4.78, 4.37, 3918, 3.059, 0.983, 6.994, 67.00, 0.018, -2.671, 0.851
P001_T3_PC10, 4, 10, 1, 20.0, 0.883, 90.255, 25.00, 4.29, 3.50, 1964, 2.840, 0.976, 6.269, 26.00, 0.040, -0.477, 1.543
P001_T3_PC11, 4, 10, 1, 20.0, 0.953, 92.891, 29.00, 4.14, 3.45, 2262, 2.731, 0.977, 6.966, 51.00, 0.034, 0.468, -1.146
P001_T3_PC12, 4, 10, 1, 20.0, 2.273, 97.286, 49.00, 6.37, 5.84, 3666, 3.660, 0.990, 8.675, 82.00, 0.020, -1.105, -1.332
P001_T3_PC13, 4, 10, 1, 20.0, 0.647, 89.940, 25.00, 3.80, 2.77, 1619, 2.581, 0.975, 5.829, 30.00, 0.040, 2.861, -0.776
P001_T3_PC14, 4, 10, 1, 20.0, 0.808, 89.082, 25.00, 3.52, 2.41, 2158, 2.392, 0.968, 4.997, 26.00, 0.040, -0.355, -0.682
P001_T3_PC15, 4, 10, 1, 20.0, 1.667, 92.445, 51.00, 5.59, 5.70, 2914, 3.266, 0.988, 8.418, 49.00, 0.020, -1.662, 0.911
P001_T4_PC1, 4, 10, 1, 20.0, 4.620, 99.454, 136.00, 18.07, 24.04, 2630, 4.997, 0.997, 28.255, 203.00, 0.007, -8.104, -7.902
P001_T4_PC2, 4, 10, 1, 20.0, 1.935, 97.112, 56.00, 6.80, 7.29, 2859, 3.692, 0.987, 11.773, 132.00, 0.018, 0.248, -3.783
P001_T4_PC3, 4, 10, 1, 20.0, 4.078, 98.649, 63.00, 12.98, 13.99, 3206, 4.596, 0.990, 23.052, 163.00, 0.016, -1.444, 7.122
P001_T4_PC4, 4, 10, 1, 20.0, 1.238, 95.314, 41.00, 5.76, 5.57, 2118, 3.404, 0.989, 9.280, 95.00, 0.024, 0.493, -1.331
P001_T4_PC5, 4, 10, 1, 20.0, 10.809, 98.944, 98.00, 12.22, 13.98, 9053, 4.579, 0.993, 16.441, 111.00, 0.010, -1.125, -0.408
P001_T4_PC6, 4, 10, 1, 20.0, 2.017, 95.150, 57.00, 6.22, 6.85, 3194, 3.483, 0.981, 11.762, 124.00, 0.018, -0.803, -4.061
P001_T4_PC7, 4, 10, 1, 20.0, 1.409, 92.751, 42.00, 4.94, 4.70, 2733, 3.102, 0.977, 7.748, 60.00, 0.024, -0.516, -0.366
P001_T4_PC8, 4, 10, 1, 20.0, 2.343, 96.909, 54.00, 6.27, 6.41, 3747, 3.585, 0.982, 7.916, 71.00, 0.019, 3.421, 2.105
P001_T4_PC9, 4, 10, 1, 20.0, 2.841, 96.682, 48.00, 5.87, 6.35, 4837, 3.400, 0.984, 8.101, 82.00, 0.021, 0.674, 19.183
P001_T4_PC10, 4, 10, 1, 20.0, 1.406, 93.957, 40.00, 4.40, 3.68, 3107, 2.912, 0.980, 6.183, 61.00, 0.025, 3.810, 1.029
P001_T4_PC11, 4, 10, 1, 20.0, 0.523, 85.622, 17.00, 3.16, 1.68, 1468, 2.134, 0.906, 3.933, 26.00, 0.059, 1.359, -0.314
P001_T4_PC12, 4, 10, 1, 20.0, 3.134, 97.269, 77.00, 7.28, 9.24, 4328, 3.733, 0.980, 8.956, 75.00, 0.013, 4.420, -1.095
P001_T4_PC13, 4, 10, 1, 20.0, 0.579, 88.224, 35.00, 3.99, 3.16, 1325, 2.662, 0.944, 4.922, 35.00, 0.029, 1.634, 0.298
P001_T4_PC14, 4, 10, 1, 20.0, 1.351, 93.912, 42.00, 4.49, 3.72, 2925, 2.957, 0.969, 5.922, 50.00, 0.024, -1.214, -0.924
P001_T4_PC15, 4, 10, 1, 20.0, 2.269, 94.857, 69.00, 7.21, 8.56, 3086, 3.754, 0.983, 10.083, 51.00, 0.014, -0.909, -3.006
P001_T5_PC1, 4, 10, 1, 20.0, 12.022, 99.740, 373.00, 30.17, 38.68, 4094, 5.969, 0.999, 42.277, 314.00, 0.003, -15.579, -24.858
P001_T5_PC2, 4, 10, 1, 20.0, 4.013, 98.641, 66.00, 9.86, 10.72, 4135, 4.367, 0.994, 11.474, 85.00, 0.015, 2.856, -7.455
P001_T5_PC3, 4, 10, 1, 20.0, 17.035, 99.701, 303.00, 30.61, 54.07, 5717, 5.438, 0.999, 65.824, 275.00, 0.003, -31.062, -40.907
P001_T5_PC4, 4, 10, 1, 20.0, 2.573, 97.145, 56.00, 6.99, 7.70, 3684, 3.754, 0.991, 10.073, 64.00, 0.018, -4.929, -4.128
P001_T5_PC5, 4, 10, 1, 20.0, 1.655, 94.644, 102.00, 6.25, 10.10, 2582, 3.214, 0.960, 5.852, 77.00, 0.010, -1.460, -2.225
P001_T5_PC6, 4, 10, 1, 20.0, 0.587, 92.444, 25.00, 4.22, 3.42, 1324, 2.803, 0.976, 5.361, 43.00, 0.040, -0.529, -0.522
P001_T5_PC7, 4, 10, 1, 20.0, 1.992, 94.166, 63.00, 4.35, 4.35, 4443, 2.829, 0.972, 5.085, 33.00, 0.016, -0.886, -2.155
P001_T5_PC8, 4, 10, 1, 20.0, 2.457, 95.215, 87.00, 6.10, 8.78, 3950, 3.243, 0.975, 8.045, 123.00, 0.011, -3.060, -4.953
P001_T5_PC9, 4, 10, 1, 20.0, 2.944, 96.894, 79.00, 6.04, 6.98, 4870, 3.469, 0.989, 9.613, 75.00, 0.013, 1.648, -1.997
P001_T5_PC10, 4, 10, 1, 20.0, 1.539, 94.714, 46.00, 5.14, 5.40, 2924, 3.167, 0.988, 8.589, 78.00, 0.022, -3.120, -0.451
P001_T5_PC11, 4, 10, 1, 20.0, 0.646, 90.392, 25.00, 4.27, 3.20, 1407, 2.853, 0.971, 6.762, 61.00, 0.040, 0.073, -0.999
P001_T5_PC12, 4, 10, 1, 20.0, 0.955, 95.691, 40.00, 4.81, 4.35, 1956, 3.065, 0.978, 5.280, 29.00, 0.025, -0.591, 3.867
P001_T5_PC13, 4, 10, 1, 20.0, 0.752, 88.509, 28.00, 3.65, 2.83, 1878, 2.469, 0.953, 4.710, 34.00, 0.036, 0.332, 0.903
P001_T5_PC14, 4, 10, 1, 20.0, 1.175, 91.835, 29.00, 4.04, 3.16, 2752, 2.706, 0.983, 6.424, 47.00, 0.034, -0.127, 1.210
P001_T5_PC15, 4, 10, 1, 20.0, 2.450, 96.387, 54.00, 6.79, 8.24, 3581, 3.603, 0.985, 10.360, 100.00, 0.019, -0.402, 0.860
P001_T6_PC1, 4, 10, 1, 20.0, 4.863, 99.368, 147.00, 17.71, 25.30, 2822, 5.115, 0.997, 23.288, 146.00, 0.007, 0.568, -8.111
P001_T6_PC2, 4, 10, 1, 20.0, 2.096, 97.911, 58.00, 8.81, 9.44, 2410, 4.154, 0.990, 10.636, 63.00, 0.017, -0.253, -2.994
P001_T6_PC3, 4, 10, 1, 20.0, 5.047, 98.289, 85.00, 9.73, 14.53, 5271, 3.988, 0.993, 13.020, 126.00, 0.012, 10.493, -2.597
P001_T6_PC4, 4, 10, 1, 20.0, 1.371, 96.543, 37.00, 5.17, 4.42, 2649, 3.191, 0.990, 6.266, 40.00, 0.027, -3.204, -0.464
P001_T6_PC5, 4, 10, 1, 20.0, 3.075, 98.469, 52.00, 8.05, 8.23, 3891, 4.040, 0.989, 9.016, 53.00, 0.019, 1.477, -2.650
P001_T6_PC6, 4, 10, 1, 20.0, 1.332, 93.787, 61.00, 6.06, 7.00, 2132, 3.451, 0.969, 7.814, 56.00, 0.016, -0.916, -2.065
P001_T6_PC7, 4, 10, 1, 20.0, 1.157, 93.839, 52.00, 5.23, 5.05, 2147, 3.243, 0.982, 7.312, 67.00, 0.019, 0.546, -1.775
P001_T6_PC8, 4, 10, 1, 20.0, 1.494, 94.590, 65.00, 7.50, 11.54, 1948, 3.480, 0.976, 9.341, 75.00, 0.015, -0.558, -1.550
P001_T6_PC9, 4, 10, 1, 20.0, 1.236, 94.329, 34.00, 5.13, 4.60, 2349, 3.194, 0.976, 6.474, 31.00, 0.029, 0.267, -1.456
P001_T6_PC10, 4, 10, 1, 20.0, 2.082, 96.791, 58.00, 6.83, 8.16, 3050, 3.657, 0.988, 10.323, 91.00, 0.017, 0.218, -0.662
P001_T6_PC11, 4, 10, 1, 20.0, 0.572, 90.238, 42.00, 4.03, 3.68, 1327, 2.664, 0.965, 5.506, 33.00, 0.024, -0.203, -0.955
P001_T6_PC12, 4, 10, 1, 20.0, 0.737, 90.604, 43.00, 3.84, 3.42, 1796, 2.564, 0.956, 4.826, 33.00, 0.023, -1.614, 0.433
P001_T6_PC13, 4, 10, 1, 20.0, 0.723, 89.503, 29.00, 3.73, 2.70, 1794, 2.541, 0.960, 5.230, 28.00, 0.034, -0.504, -0.785
P001_T6_PC14, 4, 10, 1, 20.0, 1.222, 92.864, 39.00, 4.19, 3.39, 2800, 2.801, 0.964, 5.291, 22.00, 0.026, -1.916, -1.041
P001_T6_PC15, 4, 10, 1, 20.0, 2.080, 96.570, 57.00, 7.53, 9.03, 2758, 3.759, 0.983, 10.460, 109.00, 0.018, -4.869, -1.888
P001_T7_PC1, 4, 10, 1, 20.0, 3.775, 99.161, 111.00, 12.17, 12.66, 3138, 4.739, 0.994, 18.395, 147.00, 0.009, 4.446, -0.981
P001_T7_PC2, 4, 10, 1, 20.0, 1.304, 96.077, 51.00, 6.47, 7.29, 1977, 3.575, 0.978, 8.244, 53.00, 0.020, 1.954, -0.613
P001_T7_PC3, 4, 10, 1, 20.0, 2.223, 97.637, 47.00, 7.48, 8.68, 2962, 3.765, 0.994, 16.712, 155.00, 0.021, 2.830, -2.537
P001_T7_PC4, 4, 10, 1, 20.0, 1.684, 96.029, 57.00, 6.09, 7.41, 2706, 3.357, 0.995, 12.415, 79.00, 0.018, -1.001, 4.920
P001_T7_PC5, 4, 10, 1, 20.0, 2.084, 96.430, 59.00, 7.14, 6.75, 2870, 3.832, 0.977, 8.211, 79.00, 0.017, -1.458, 0.345
P001_T7_PC6, 4, 10, 1, 20.0, 1.531, 92.641, 47.00, 5.94, 6.72, 2436, 3.339, 0.989, 11.611, 91.00, 0.021, -1.811, -2.601
P001_T7_PC7, 4, 10, 1, 20.0, 1.194, 95.124, 40.00, 5.63, 5.35, 2060, 3.369, 0.963, 7.816, 56.00, 0.025, 0.252, -1.067
P001_T7_PC8, 4, 10, 1, 20.0, 0.863, 92.688, 30.00, 4.45, 3.69, 1836, 2.917, 0.962, 5.900, 38.00, 0.033, -0.003, 1.395
P001_T7_PC9, 4, 10, 1, 20.0, 2.531, 96.983, 61.00, 6.58, 7.03, 3804, 3.635, 0.983, 8.253, 57.00, 0.016, -0.167, 2.780
P001_T7_PC10, 4, 10, 1, 20.0, 0.447, 87.577, 16.00, 3.28, 1.86, 1217, 2.240, 0.964, 5.363, 36.00, 0.062, -0.287, -0.361
P001_T7_PC11, 4, 10, 1, 20.0, 0.571, 90.335, 29.00, 4.54, 3.99, 1158, 2.914, 0.969, 7.424, 54.00, 0.034, 0.210, 0.355
P001_T7_PC12, 4, 10, 1, 20.0, 0.839, 93.655, 35.00, 4.31, 3.53, 1858, 2.854, 0.959, 4.939, 38.00, 0.029, 0.170, -0.836
P001_T7_PC13, 4, 10, 1, 20.0, 0.670, 86.723, 29.00, 3.22, 2.40, 1843, 2.117, 0.939, 3.970, 18.00, 0.034, 2.461, 0.775
P001_T7_PC14, 4, 10, 1, 20.0, 1.252, 95.866, 27.00, 4.71, 3.78, 2597, 3.062, 0.990, 8.758, 73.00, 0.037, -1.853, -0.994
P001_T7_PC15, 4, 10, 1, 20.0, 0.944, 91.835, 31.00, 4.43, 3.86, 1994, 2.898, 0.962, 6.403, 37.00, 0.032, -0.255, 2.984
P001_T8_PC1, 4, 10, 1, 20.0, 2.747, 98.240, 104.00, 8.49, 9.22, 3377, 4.112, 0.992, 11.190, 63.00, 0.010, -2.550, -2.088
P001_T8_PC2, 4, 10, 1, 20.0, 1.239, 96.272, 35.00, 5.65, 5.62, 2242, 3.317, 0.980, 6.852, 58.00, 0.029, -2.854, -0.597
P001_T8_PC3, 4, 10, 1, 20.0, 1.233, 91.216, 26.00, 3.94, 3.04, 3030, 2.663, 0.951, 4.714, 26.00, 0.038, -1.129, 1.758
P001_T8_PC4, 4, 10, 1, 20.0, 1.138, 94.223, 34.00, 5.43, 4.97, 2099, 3.305, 0.967, 6.949, 65.00, 0.029, -0.802, -1.151
P001_T8_PC5, 4, 10, 1, 20.0, 1.207, 91.979, 43.00, 4.42, 4.30, 2667, 2.859, 0.937, 4.080, 30.00, 0.023, -1.683, 0.161
P001_T8_PC6, 4, 10, 1, 20.0, 0.636, 86.323, 22.00, 3.48, 2.22, 1677, 2.373, 0.909, 4.211, 26.00, 0.045, -0.242, -0.075
P001_T8_PC7, 4, 10, 1, 20.0, 0.796, 89.663, 44.00, 3.90, 3.40, 1944, 2.593, 0.927, 4.744, 33.00, 0.023, 0.175, 2.694
P001_T8_PC8, 4, 10, 1, 20.0, 1.248, 91.163, 65.00, 4.19, 4.19, 2889, 2.741, 0.958, 4.881, 25.00, 0.015, -1.690, 0.321
